epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1018,1.44551,3.67446,1.5855,0.9057,0.18704,0.46753,0.25166,1.36517,3.71411,1.56115,0.000365761,0.000365761,0.000365761
2,85.6523,1.53967,2.88932,1.68234,0.56642,0.503,0.51193,0.27078,1.63119,3.20223,1.84446,0.000663221,0.000663221,0.000663221
3,99.4267,1.58564,2.61102,1.70333,0.39724,0.4856,0.42844,0.20066,1.74194,3.06843,1.90492,0.000887355,0.000887355,0.000887355
4,113.245,1.56374,2.31575,1.6694,0.65272,0.51877,0.56855,0.30947,1.5738,2.49823,1.72247,0.000781033,0.000781033,0.000781033
5,127.668,1.49663,1.98138,1.61236,0.66542,0.63654,0.65505,0.36985,1.54811,2.3606,1.67863,0.000671044,0.000671044,0.000671044
6,141.922,1.44347,1.81812,1.53997,0.73473,0.66844,0.73871,0.43499,1.45382,1.81455,1.59991,0.000561055,0.000561055,0.000561055
7,155.944,1.38056,1.62407,1.49639,0.87233,0.66255,0.77826,0.47569,1.41459,1.57763,1.54604,0.000451066,0.000451066,0.000451066
8,169.387,1.31829,1.46444,1.43657,0.82544,0.73921,0.80498,0.47308,1.43929,1.54398,1.49883,0.000341077,0.000341077,0.000341077
9,182.674,1.27072,1.36999,1.38025,0.89391,0.7216,0.82615,0.52398,1.31128,1.36188,1.42857,0.000231088,0.000231088,0.000231088
10,196.094,1.22819,1.2616,1.35467,0.86446,0.76206,0.8315,0.54405,1.27087,1.33328,1.42761,0.000121099,0.000121099,0.000121099
